,upper,lower,steer
0,ensemble_frames/upper/upper_-100_9447932738.jpg,ensemble_frames/lower/lower_-100_9447932738.jpg,-100
1,ensemble_frames/upper/upper_-100_9447943686.jpg,ensemble_frames/lower/lower_-100_9447943686.jpg,-100
2,ensemble_frames/upper/upper_-100_9447943804.jpg,ensemble_frames/lower/lower_-100_9447943804.jpg,-100
3,ensemble_frames/upper/upper_-100_9447945792.jpg,ensemble_frames/lower/lower_-100_9447945792.jpg,-100
4,ensemble_frames/upper/upper_-100_9447946376.jpg,ensemble_frames/lower/lower_-100_9447946376.jpg,-100
5,ensemble_frames/upper/upper_-100_9447963430.jpg,ensemble_frames/lower/lower_-100_9447963430.jpg,-100
6,ensemble_frames/upper/upper_-100_9454561309.jpg,ensemble_frames/lower/lower_-100_9454561309.jpg,-100
7,ensemble_frames/upper/upper_-100_9454577211.jpg,ensemble_frames/lower/lower_-100_9454577211.jpg,-100
8,ensemble_frames/upper/upper_-100_9454577217.jpg,ensemble_frames/lower/lower_-100_9454577217.jpg,-100
9,ensemble_frames/upper/upper_-100_9454577439.jpg,ensemble_frames/lower/lower_-100_9454577439.jpg,-100
10,ensemble_frames/upper/upper_-100_9454577446.jpg,ensemble_frames/lower/lower_-100_9454577446.jpg,-100
11,ensemble_frames/upper/upper_-100_9454577773.jpg,ensemble_frames/lower/lower_-100_9454577773.jpg,-100
12,ensemble_frames/upper/upper_-100_9454603216.jpg,ensemble_frames/lower/lower_-100_9454603216.jpg,-100
13,ensemble_frames/upper/upper_-100_9454603222.jpg,ensemble_frames/lower/lower_-100_9454603222.jpg,-100
14,ensemble_frames/upper/upper_-100_9454603398.jpg,ensemble_frames/lower/lower_-100_9454603398.jpg,-100
15,ensemble_frames/upper/upper_-101_9447932239.jpg,ensemble_frames/lower/lower_-101_9447932239.jpg,-101
16,ensemble_frames/upper/upper_-101_9447932326.jpg,ensemble_frames/lower/lower_-101_9447932326.jpg,-101
17,ensemble_frames/upper/upper_-101_9447944031.jpg,ensemble_frames/lower/lower_-101_9447944031.jpg,-101
18,ensemble_frames/upper/upper_-101_9447963323.jpg,ensemble_frames/lower/lower_-101_9447963323.jpg,-101
19,ensemble_frames/upper/upper_-101_9447963330.jpg,ensemble_frames/lower/lower_-101_9447963330.jpg,-101
20,ensemble_frames/upper/upper_-101_9447963340.jpg,ensemble_frames/lower/lower_-101_9447963340.jpg,-101
21,ensemble_frames/upper/upper_-101_9447971733.jpg,ensemble_frames/lower/lower_-101_9447971733.jpg,-101
22,ensemble_frames/upper/upper_-101_9447971740.jpg,ensemble_frames/lower/lower_-101_9447971740.jpg,-101
23,ensemble_frames/upper/upper_-101_9447971805.jpg,ensemble_frames/lower/lower_-101_9447971805.jpg,-101
24,ensemble_frames/upper/upper_-101_9454559972.jpg,ensemble_frames/lower/lower_-101_9454559972.jpg,-101
25,ensemble_frames/upper/upper_-101_9454577224.jpg,ensemble_frames/lower/lower_-101_9454577224.jpg,-101
26,ensemble_frames/upper/upper_-101_9454577231.jpg,ensemble_frames/lower/lower_-101_9454577231.jpg,-101
27,ensemble_frames/upper/upper_-101_9454577426.jpg,ensemble_frames/lower/lower_-101_9454577426.jpg,-101
28,ensemble_frames/upper/upper_-101_9454577433.jpg,ensemble_frames/lower/lower_-101_9454577433.jpg,-101
29,ensemble_frames/upper/upper_-101_9454577452.jpg,ensemble_frames/lower/lower_-101_9454577452.jpg,-101
30,ensemble_frames/upper/upper_-101_9454577631.jpg,ensemble_frames/lower/lower_-101_9454577631.jpg,-101
31,ensemble_frames/upper/upper_-101_9454577637.jpg,ensemble_frames/lower/lower_-101_9454577637.jpg,-101
